Joints
100
,,Tuto_joint:Head_Head_End,Tuto_joint:L_Collar_L_Humerus,,,Tuto_joint:L_Elbow_L_Wrist,Tuto_joint:L_Femur_L_Tibia,Tuto_joint:L_Foot_L_Toe,Tuto_joint:L_Humerus_L_Elbow,,Tuto_joint:L_Tibia_L_Foot,,,Tuto_joint:L_Wrist_L_Wrist_End,Tuto_joint:LowerBack_Head,,,Tuto_joint:LowerBack_L_Collar,,,Tuto_joint:LowerBack_R_Collar,,,Tuto_joint:R_Collar_R_Humerus,,,Tuto_joint:R_Elbow_R_Wrist,Tuto_joint:R_Femur_R_Tibia,Tuto_joint:R_Foot_R_Toe,Tuto_joint:R_Humerus_R_Elbow,,Tuto_joint:R_Tibia_R_Foot,,,Tuto_joint:R_Wrist_R_Wrist_End,Tuto_joint:Root_L_Femur,,,Tuto_joint:Root_LowerBack,,,Tuto_joint:Root_R_Femur,,,Tuto_joint:World_Root,,,,,,
Frame,Sub Frame,,RX,RY,RZ,R,R,,R1,R2,RX,RY,RZ,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,R,R,,R1,R2,RX,RY,RZ,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
21,0,,110.917,67.7556,-118.249,14.7962,0.158369,,-72.7385,-85.9588,8.93992,-7.73771,-7.44271,,-0,0,-0,2.73388,-34.2671,12.7167,3.81241,26.6028,-12.4982,65.2919,-70.4774,72.4044,-12.25,10.7525,,-71.6875,56.5296,1.53831,21.7792,-6.40276,,-12.514,18.2366,19.1506,-9.65921,6.4377,9.45495,-1.78882,-22.6161,-4.28391,175.774,3.8546,173.268,-146.478,956.039,750.01
22,0,,111.256,67.9695,-118.46,14.8115,0.131061,,-72.7097,-85.6816,8.96616,-7.73811,-7.31477,,-0,0,-0,2.88881,-34.3153,12.829,3.87748,26.7314,-12.5456,65.2982,-70.6831,72.3439,-12.0064,10.7563,,-71.7825,56.2645,1.55342,21.7981,-6.42358,,-12.493,18.2601,19.1786,-9.67103,6.48816,9.43671,-1.76582,-22.6256,-4.25659,175.788,3.87021,173.254,-146.226,956.139,749.939
23,0,,111.536,68.1498,-118.652,14.6669,0.0861482,,-72.8121,-85.4595,8.99881,-7.71403,-7.21468,,-0,0,-0,3.04587,-34.4265,12.9715,4.01594,26.9262,-12.6399,64.8175,-70.7401,71.876,-11.7977,10.7514,,-72.0492,55.8279,1.59987,21.8104,-6.42846,,-12.4673,18.2817,19.2059,-9.68715,6.51348,9.42034,-1.74702,-22.6058,-4.22129,175.793,3.89411,173.237,-145.97,956.243,749.869
24,0,,111.709,68.3156,-118.788,14.4575,0.036146,,-72.9956,-85.2623,9.04576,-7.67443,-7.13218,,-0,0,-0,3.20427,-34.5677,13.0932,4.12394,27.0355,-12.7464,64.9909,-70.9805,71.9183,-11.6645,10.7409,,-72.0261,55.7968,1.62095,21.8258,-6.46751,,-12.4321,18.2886,19.2092,-9.69279,6.52021,9.42182,-1.73019,-22.5855,-4.20018,175.799,3.90772,173.236,-145.732,956.345,749.835
25,0,,111.98,68.478,-118.99,14.4624,-0.0322899,,-73.0529,-85.1331,9.09918,-7.59958,-7.01111,,-0,0,-0,3.39226,-34.6721,13.2656,4.26395,27.2263,-12.8496,64.5754,-71.0537,71.5062,-11.4269,10.7293,,-72.2534,55.4399,1.64806,21.8007,-6.50566,,-12.3748,18.2369,19.2204,-9.69332,6.52408,9.4107,-1.69593,-22.5767,-4.1585,175.81,3.90314,173.216,-145.483,956.461,749.819
26,0,,112.33,68.6783,-119.245,14.3064,-0.108665,,-73.1532,-85.149,9.22315,-7.63301,-6.87761,,-0,0,-0,3.50188,-34.7991,13.358,4.41264,27.358,-12.9756,64.4889,-71.2588,71.3251,-11.4939,10.713,,-72.25,55.3902,1.67025,21.7529,-6.52607,,-12.3294,18.2119,19.225,-9.68518,6.503,9.4199,-1.66729,-22.5297,-4.12082,175.817,3.90565,173.205,-145.229,956.572,749.832
27,0,,112.336,68.8866,-119.216,14.0823,-0.170981,,-73.3508,-84.7814,9.22739,-7.49794,-6.83871,,-0,0,-0,3.66099,-34.9085,13.4737,4.5526,27.4867,-13.0949,64.0722,-71.3856,70.8542,-11.3995,10.6946,,-72.385,55.1976,1.69445,21.6906,-6.51158,,-12.2829,18.1747,19.2305,-9.68909,6.48861,9.42438,-1.64112,-22.4951,-4.08344,175.818,3.89588,173.197,-144.971,956.705,749.844
28,0,,112.641,69.0445,-119.453,13.9907,-0.22511,,-73.4666,-84.5671,9.28299,-7.44457,-6.80455,,-0,0,-0,3.82752,-35.0197,13.6377,4.69866,27.6558,-13.2035,63.651,-71.4993,70.3901,-11.2386,10.6747,,-72.5093,54.8969,1.70852,21.6823,-6.56197,,-12.2386,18.1539,19.2224,-9.68115,6.45869,9.39711,-1.61479,-22.4711,-4.06806,175.827,3.88251,173.199,-144.76,956.817,749.834
29,0,,112.308,69.222,-119.178,13.7865,-0.276706,,-73.8187,-84.1273,9.33033,-7.44589,-6.68438,,-0,0,-0,3.97235,-35.2078,13.7854,4.88535,27.7824,-13.3738,63.6556,-71.6482,70.3122,-11.2713,10.6511,,-72.5507,54.9694,1.73811,21.6143,-6.56234,,-12.2114,18.1479,19.2292,-9.66519,6.39298,9.40586,-1.5857,-22.4324,-4.0362,175.83,3.86975,173.196,-144.51,956.948,749.827
30,0,,112.875,69.4458,-119.571,13.7871,-0.31239,,-73.7396,-84.2568,9.39397,-7.45541,-6.64229,,-0,0,-0,4.13492,-35.2175,13.9099,4.98502,27.9821,-13.4481,63.007,-71.7552,69.637,-11.1682,10.6322,,-72.7232,54.7862,1.77041,21.6059,-6.60573,,-12.1905,18.1599,19.2314,-9.66053,6.40353,9.37015,-1.54993,-22.4208,-4.01609,175.845,3.84422,173.195,-144.328,957.074,749.833
31,0,,112.55,69.6191,-119.289,13.5851,-0.359888,,-74.0517,-83.7727,9.4515,-7.4606,-6.55796,,-0,0,-0,4.27814,-35.3801,14.0421,5.13479,28.0748,-13.5949,62.6619,-71.9048,69.1779,-11.1311,10.6256,,-72.7441,54.671,1.79015,21.6544,-6.66659,,-12.1716,18.162,19.2328,-9.6555,6.3459,9.38513,-1.54215,-22.5114,-4.01011,175.844,3.82551,173.197,-144.088,957.217,749.819
32,0,,112.543,69.8223,-119.249,13.5908,-0.406084,,-74.1836,-83.6841,9.50969,-7.47548,-6.51982,,-0,0,-0,4.49324,-35.4799,14.2181,5.25551,28.2621,-13.7294,61.7926,-71.8869,68.3309,-10.9275,10.6107,,-72.9527,54.0814,1.82127,21.5707,-6.64304,,-12.153,18.1592,19.2398,-9.66131,6.33543,9.36424,-1.5063,-22.487,-3.97668,175.85,3.7933,173.192,-143.89,957.371,749.801
33,0,,112.62,70.0373,-119.255,13.3827,-0.449777,,-74.3202,-83.499,9.56392,-7.49231,-6.38141,,-0,0,-0,4.62996,-35.5598,14.3142,5.36796,28.3704,-13.8518,61.5524,-72.0639,67.9842,-10.8802,10.5737,,-72.9522,54.0506,1.84915,21.4836,-6.63925,,-12.1267,18.1468,19.2353,-9.66514,6.29646,9.3659,-1.46199,-22.3982,-3.94798,175.855,3.75452,173.194,-143.706,957.534,749.782
34,0,,113.179,70.2329,-119.672,13.3701,-0.508918,,-74.2399,-83.4811,9.62631,-7.45086,-6.30859,,-0,0,-0,4.79699,-35.593,14.4436,5.4478,28.505,-13.9452,61.1198,-72.1714,67.4933,-11.0539,10.5585,,-73.0569,54.0322,1.86929,21.385,-6.62516,,-12.0842,18.1178,19.2268,-9.67577,6.29708,9.35019,-1.42542,-22.3755,-3.9234,175.866,3.71916,173.19,-143.531,957.689,749.777
35,0,,113.083,70.4505,-119.517,13.2959,-0.57776,,-74.3442,-83.3623,9.6842,-7.42114,-6.21452,,-0,0,-0,5.02087,-35.6424,14.6022,5.49854,28.6676,-14.0558,60.6374,-72.2646,66.9669,-10.9251,10.5537,,-73.1782,53.4752,1.90454,21.4692,-6.69386,,-12.051,18.073,19.2232,-9.69211,6.33341,9.33422,-1.42446,-22.4561,-3.91081,175.86,3.68885,173.186,-143.338,957.809,749.835
36,0,,112.359,70.6448,-118.865,13.1728,-0.648811,,-74.7104,-82.8912,9.74489,-7.40701,-6.15072,,-0,0,-0,5.26029,-35.7811,14.7515,5.58402,28.8203,-14.2301,60.1479,-72.3295,66.4402,-10.8881,10.534,,-73.2838,53.2378,1.9169,21.413,-6.70309,,-12.028,18.0478,19.2175,-9.71381,6.35583,9.35656,-1.41014,-22.4501,-3.88497,175.848,3.65759,173.182,-143.165,957.928,749.856
37,0,,112.255,70.7841,-118.725,13.0894,-0.706965,,-74.783,-82.5259,9.79614,-7.34835,-6.13684,,-0,0,-0,5.46673,-35.9476,14.9993,5.62947,29.126,-14.3254,59.2043,-72.302,65.5069,-10.6778,10.5105,,-73.4702,53.1415,1.9228,21.3707,-6.71614,,-11.9992,18.0052,19.2067,-9.67782,6.3807,9.30153,-1.39192,-22.4466,-3.86261,175.838,3.62429,173.182,-142.966,958.027,749.845
38,0,,112.68,70.9691,-119.031,13.0748,-0.751174,,-74.7293,-82.6532,9.8514,-7.39886,-5.96602,,-0,0,-0,5.62618,-35.9827,15.1324,5.70406,29.277,-14.4165,58.694,-72.3958,64.937,-10.6681,10.4892,,-73.5669,52.9578,1.95122,21.3584,-6.76683,,-11.9886,18.0236,19.2072,-9.68061,6.381,9.28566,-1.36215,-22.4417,-3.84187,175.844,3.58774,173.18,-142.803,958.152,749.876
