Joints
100
,,Tuto_joint:Head_Head_End,Tuto_joint:L_Collar_L_Humerus,,,Tuto_joint:L_Elbow_L_Wrist,Tuto_joint:L_Femur_L_Tibia,Tuto_joint:L_Foot_L_Toe,Tuto_joint:L_Humerus_L_Elbow,,Tuto_joint:L_Tibia_L_Foot,,,Tuto_joint:L_Wrist_L_Wrist_End,Tuto_joint:LowerBack_Head,,,Tuto_joint:LowerBack_L_Collar,,,Tuto_joint:LowerBack_R_Collar,,,Tuto_joint:R_Collar_R_Humerus,,,Tuto_joint:R_Elbow_R_Wrist,Tuto_joint:R_Femur_R_Tibia,Tuto_joint:R_Foot_R_Toe,Tuto_joint:R_Humerus_R_Elbow,,Tuto_joint:R_Tibia_R_Foot,,,Tuto_joint:R_Wrist_R_Wrist_End,Tuto_joint:Root_L_Femur,,,Tuto_joint:Root_LowerBack,,,Tuto_joint:Root_R_Femur,,,Tuto_joint:World_Root,,,,,,
Frame,Sub Frame,,RX,RY,RZ,R,R,,R1,R2,RX,RY,RZ,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,R,R,,R1,R2,RX,RY,RZ,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
380,0,,,,,,,,,,,,,66.1074,876.936,1506.6,137.476,934.021,1240.48,180.87,724.125,1474.04,177.654,687.98,1318.72,48.9116,925.52,1426.13,392.776,899.64,1535.39,502.107,895.541,1461.41,611.44,916.754,1404.97,745.509,907.992,1359.29,858.714,846.585,1293.13,840.599,916.042,1259.81,920.196,908.299,1286.93,-106.287,813.468,1530.24,-183.28,800.334,1466.46,-305.414,773.059,1415.17,-413.762,727.833,1392.95,-511.498,618.474,1312.07,-526.58,701.717,1304.81,-582.827,635.054,1327.23,285.748,717.559,1022.26,37.0033,698.937,1022.88,294.916,921.064,1051.4,33.6556,912.502,1066.29,385.117,767.117,676.461,378.633,783.872,549.553,417.207,757.306,243.184,445.155,727.933,75.8383,334.477,763.806,85.2136,426.115,538.159,83.1114,-69.7418,778.763,840.563,-53.5688,828.044,568.4,-87.9744,875.228,415.014,-108.257,922.314,91.3755,-1.49817,961.009,77.116,-69.8312,756.529,84.4006
381,0,,,,,,,,,,,,,66.5289,876.342,1506.64,137.58,933.841,1240.47,182.601,723.488,1474.4,177.342,687.614,1318.63,49.0237,925.187,1426.03,392.889,899.092,1535.33,502.013,895.027,1461.23,611.245,916.253,1404.71,745.315,907.276,1358.86,858.768,846.089,1293,840.451,915.374,1259.41,919.964,907.662,1286.37,-106.372,813.293,1530.33,-183.292,800.176,1466.42,-305.591,772.888,1415.23,-413.856,727.615,1392.97,-511.555,618.204,1312.08,-521.468,699.481,1303.28,-582.922,634.695,1327.26,285.806,717.024,1022.16,36.7869,698.835,1022.78,295.223,920.379,1051.61,33.7141,912.382,1066.34,384.769,767.069,676.261,377.349,784.044,548.639,417.075,757.43,243.098,445.128,727.968,75.8208,334.498,763.833,85.2323,426.106,538.171,83.1623,-69.8267,778.873,840.536,-53.532,828.303,568.43,-87.9398,875.432,414.975,-108.243,922.366,91.3945,-1.48207,961.038,77.1282,-70.0293,756.675,84.3633
382,0,,,,,,,,,,,,,62.119,876.223,1504.9,137.672,933.686,1240.5,176.116,725.402,1472.54,176.877,687.314,1318.5,49.0513,924.88,1425.95,392.892,898.621,1535.2,502.173,894.583,1461.04,611.283,915.739,1404.53,745.193,906.651,1358.45,858.659,845.463,1292.64,840.126,914.638,1258.95,919.853,906.996,1285.92,-106.418,813.108,1530.33,-183.373,800.022,1466.48,-305.557,772.725,1415.18,-413.881,727.388,1392.97,-511.639,617.931,1312.14,-521.516,699.243,1303.25,-582.974,634.411,1327.3,285.847,716.389,1022.09,36.4255,698.754,1022.76,295.405,919.703,1051.78,33.8111,912.282,1066.42,384.329,767.046,676.003,376.994,784.508,548.493,416.905,757.57,243.013,445.091,727.982,75.7611,334.471,763.854,85.1981,426.153,538.203,83.2414,-69.9325,778.976,840.489,-53.6003,828.417,568.445,-87.873,875.547,414.949,-108.275,922.389,91.4323,-1.44325,961.024,77.1722,-70.03,756.661,84.3627
383,0,,,,,,,,,,,,,61.333,875.677,1504.57,137.676,933.477,1240.49,175.826,725.223,1472.55,176.54,686.916,1318.42,49.142,924.572,1425.91,392.812,898.159,1535.09,502.148,894.11,1460.84,611.305,915.161,1404.31,745.113,906.086,1358.12,858.595,844.813,1292.34,840.003,913.884,1258.6,919.787,906.196,1285.54,-106.531,812.976,1530.37,-183.476,799.887,1466.47,-303.925,772.311,1414.16,-413.928,727.147,1392.98,-511.674,617.671,1312.15,-521.564,698.984,1303.29,-582.907,634.15,1327.32,285.817,715.827,1022.04,36.1951,698.643,1022.67,295.414,919.104,1051.8,33.9239,912.225,1066.41,383.988,767.076,675.818,376.811,784.936,548.393,416.786,757.717,242.965,445.163,727.972,75.8101,334.51,763.845,85.1702,426.156,538.216,83.3216,-69.9502,779.068,840.415,-53.672,828.458,568.443,-87.865,875.57,414.844,-108.274,922.353,91.3115,-1.53228,960.999,77.0854,-69.9792,756.696,84.4213
384,0,,,,,,,,,,,,,60.649,875.331,1504.42,137.732,933.31,1240.48,175.667,725.021,1472.5,175.643,686.93,1318.22,49.1102,924.458,1425.93,392.771,897.755,1535.02,502.104,893.639,1460.65,611.204,914.472,1404.02,744.987,905.512,1357.81,858.424,844.05,1291.98,839.825,913.239,1258.25,919.717,905.519,1285.16,-106.59,812.869,1530.42,-183.554,799.75,1466.5,-303.935,772.165,1414.14,-413.985,726.932,1393.01,-511.725,617.384,1312.23,-521.65,698.704,1303.36,-582.956,633.864,1327.38,285.796,715.201,1021.96,36.013,698.541,1022.68,295.444,918.484,1051.85,34.005,912.158,1066.41,383.518,767.155,675.531,377.059,785.542,548.802,416.696,757.916,242.976,445.111,728.031,75.7882,334.38,763.826,85.214,426.137,538.208,83.3548,-70.0754,779.161,840.439,-53.7696,828.377,568.422,-87.9424,875.506,414.867,-108.269,922.359,91.3323,-1.49649,961.012,77.0985,-70.042,756.652,84.3744
385,0,,,,,,,,,,,,,59.7826,874.913,1504.15,137.748,933.105,1240.51,175.373,724.924,1472.59,175.337,686.765,1318.17,49.1351,924.35,1425.93,392.838,897.333,1534.99,502.17,893.154,1460.59,611.188,913.881,1403.78,744.85,904.805,1357.53,858.055,843.133,1291.48,839.696,912.462,1257.93,919.641,904.863,1284.89,-106.666,812.718,1530.44,-183.66,799.617,1466.55,-304.007,772.05,1414.2,-414.049,726.703,1393.05,-511.563,617.497,1311.99,-521.803,698.446,1303.51,-582.909,633.61,1327.49,285.778,714.728,1021.88,35.8133,698.425,1022.63,295.69,917.885,1051.91,34.0826,912.145,1066.39,383.087,767.246,675.284,376.7,785.983,548.677,416.734,758.094,243.081,445.161,728.013,75.8162,334.444,763.893,85.1314,426.164,538.223,83.4251,-70.2066,779.204,840.434,-53.8373,828.278,568.356,-87.9964,875.416,414.785,-108.259,922.376,91.3574,-1.39016,961.014,77.1952,-70.0499,756.673,84.3531
386,0,,,,,,,,,,,,,58.9433,874.506,1503.89,137.748,932.914,1240.54,175.156,724.872,1472.65,175.011,686.533,1318.06,49.0483,924.292,1425.96,392.905,896.909,1535.01,502.16,892.647,1460.45,611.265,913.489,1403.65,744.732,904.075,1357.25,857.914,842.383,1291.2,839.547,911.721,1257.57,919.364,903.732,1284.29,-106.738,812.6,1530.5,-183.774,799.488,1466.59,-304.132,771.944,1414.16,-414.09,726.472,1393.08,-511.595,617.233,1312.03,-521.822,698.153,1303.6,-582.956,633.368,1327.67,285.637,714.282,1021.73,35.521,698.292,1022.72,295.894,917.244,1051.94,34.1222,912.089,1066.34,382.693,767.395,675.069,376.368,786.47,548.518,416.849,758.289,243.25,445.137,728.026,75.7945,334.371,763.841,85.1846,426.139,538.246,83.4856,-70.2911,779.148,840.433,-53.9571,828.115,568.288,-88.0478,875.271,414.712,-108.267,922.387,91.365,-1.51866,961.028,77.0769,-70.0576,756.642,84.3456
387,0,,,,,,,,,,,,,58.0336,874.022,1503.62,137.766,932.779,1240.58,174.817,724.698,1472.66,174.78,686.389,1317.97,49.0707,924.216,1426.01,393.043,896.419,1535.04,502.156,892.157,1460.38,610.818,912.793,1403.3,744.64,903.357,1356.97,857.837,841.683,1291.01,839.511,910.93,1257.28,919.311,902.895,1284.02,-106.82,812.458,1530.52,-183.816,799.345,1466.55,-304.205,771.841,1414.18,-414.175,726.318,1393.13,-511.646,616.974,1312.04,-521.948,697.968,1303.72,-582.898,633.116,1327.74,285.349,713.842,1021.56,35.3878,698.131,1022.7,296.069,916.703,1051.89,34.2616,912.051,1066.23,382.292,767.602,674.867,375.996,787.014,548.351,416.741,758.56,243.261,445.227,728.046,75.8704,334.358,763.897,85.1575,426.135,538.311,83.5503,-70.4715,779.13,840.476,-54.0638,827.873,568.238,-88.152,875.129,414.726,-108.291,922.372,91.3642,-1.48299,960.979,77.1103,-70.0809,756.614,84.3515
388,0,,,,,,,,,,,,,57.1875,873.552,1503.34,137.747,932.659,1240.63,174.577,724.481,1472.58,174.526,686.285,1317.9,49.0847,924.172,1426.04,393.105,895.924,1535,501.942,891.619,1460.19,610.592,912.102,1403.08,744.537,902.616,1356.78,857.519,840.814,1290.66,839.294,910.062,1257.01,919.143,901.999,1283.75,-106.882,812.338,1530.56,-183.937,799.264,1466.59,-304.28,771.753,1414.19,-414.223,726.158,1393.18,-511.637,616.823,1312.11,-524.099,698.326,1305.3,-582.869,632.855,1327.87,285.084,713.329,1021.34,35.1996,697.982,1022.73,296.043,916.135,1051.81,34.2988,912.024,1066.13,381.919,767.791,674.677,375.356,787.674,548.009,416.662,758.89,243.349,445.146,728.057,75.8141,334.419,763.908,85.0587,426.142,538.295,83.5982,-70.5492,779.048,840.507,-54.1206,827.641,568.186,-88.211,874.92,414.696,-108.255,922.348,91.3122,-1.41904,960.991,77.1699,-70.0862,756.624,84.3234
389,0,,,,,,,,,,,,,56.4274,873.098,1503.1,137.776,932.523,1240.68,174.467,724.27,1472.6,174.313,686.253,1317.84,49.1758,924.103,1426.06,393.015,895.357,1534.96,501.79,891.084,1460.02,610.752,911.536,1402.98,744.379,901.83,1356.57,857.222,839.855,1290.34,839.161,909.29,1256.74,918.804,901.11,1283.28,-106.926,812.22,1530.55,-184.018,799.177,1466.59,-304.376,771.679,1414.19,-414.324,726.011,1393.23,-511.722,616.604,1312.16,-524.166,698.151,1305.3,-583.013,632.848,1328.19,284.975,712.948,1021.22,34.9912,697.81,1022.79,296.108,915.734,1051.79,34.2712,911.969,1066.09,381.675,768.01,674.565,375.056,788.347,548.003,416.49,759.229,243.3,445.175,728.074,75.7988,334.337,763.948,85.0804,426.15,538.329,83.6522,-70.7276,778.889,840.583,-54.2861,827.33,568.196,-88.2259,874.684,414.61,-108.28,922.367,91.3571,-1.44993,960.969,77.139,-70.0587,756.57,84.3404
390,0,,,,,,,,,,,,,55.4767,872.546,1502.9,137.751,932.41,1240.74,174.186,723.906,1472.47,173.989,686.305,1317.82,49.1038,924.042,1426.15,392.794,894.827,1534.88,501.693,890.439,1459.91,610.904,910.943,1402.94,744.461,901.099,1356.47,857.042,838.995,1290.07,839.036,908.479,1256.52,918.458,900.286,1282.96,-106.979,812.132,1530.6,-184.051,799.113,1466.58,-306.069,771.858,1415.2,-414.402,725.898,1393.24,-511.875,616.117,1312.4,-524.301,697.958,1305.39,-582.872,632.522,1328.15,284.737,712.481,1020.95,34.9193,697.586,1022.77,296.161,915.396,1051.76,34.301,911.89,1066.01,381.374,768.228,674.369,374.961,788.939,548.011,416.328,759.58,243.354,445.191,728.094,75.8352,334.346,763.903,85.1061,426.151,538.37,83.6605,-70.8096,778.719,840.599,-54.3912,826.992,568.212,-88.4015,874.366,414.616,-108.282,922.387,91.3782,-1.38055,960.977,77.2208,-70.0932,756.564,84.2878
391,0,,,,,,,,,,,,,54.5566,871.965,1502.65,137.799,932.254,1240.79,173.959,723.549,1472.32,173.75,686.301,1317.78,49.0464,923.947,1426.21,392.675,894.312,1534.85,501.602,889.743,1459.8,610.749,910.194,1402.83,744.327,900.252,1356.28,856.71,838.044,1289.54,838.941,907.603,1256.37,918.47,899.195,1282.75,-107.099,811.936,1530.57,-184.115,799.03,1466.57,-306.126,771.799,1415.17,-414.482,725.772,1393.26,-511.912,616,1312.44,-524.406,697.806,1305.44,-582.965,632.362,1328.27,284.544,712.225,1020.9,34.7519,697.375,1022.8,296.17,915.052,1051.73,34.2511,911.793,1065.91,381.044,768.459,674.201,374.755,789.481,548.02,416.14,759.969,243.367,445.198,728.111,75.7976,334.394,763.966,85.012,426.144,538.392,83.7062,-70.8861,778.496,840.572,-54.6405,826.557,568.326,-88.4385,874.073,414.597,-108.328,922.35,91.4181,-1.54318,960.952,77.1078,-70.095,756.552,84.298
392,0,,,,,,,,,,,,,53.7321,871.392,1502.37,137.773,932.153,1240.82,173.71,723.153,1472.11,173.489,686.249,1317.71,49.154,923.817,1426.23,392.602,893.734,1534.84,501.759,889.175,1459.85,610.488,909.42,1402.68,744.211,899.377,1356.13,856.837,837.269,1289.65,839.011,906.844,1256.28,918.37,898.329,1282.55,-107.145,811.789,1530.57,-184.167,798.936,1466.52,-306.245,771.713,1415.13,-414.553,725.681,1393.26,-511.946,615.85,1312.4,-524.536,697.694,1305.43,-583.058,632.193,1328.3,284.438,711.835,1020.76,34.6556,697.148,1022.83,296.193,914.773,1051.69,34.1811,911.659,1065.79,380.772,768.666,674.07,374.511,789.946,547.959,415.992,760.307,243.379,445.169,728.14,75.7967,334.272,763.939,85.0748,426.152,538.45,83.7866,-71.0021,778.244,840.567,-54.9287,826.091,568.319,-88.5239,873.786,414.58,-108.355,922.37,91.4175,-1.44468,960.953,77.1692,-70.0927,756.565,84.2678
393,0,,,,,,,,,,,,,52.8693,870.971,1502.21,137.735,932.069,1240.88,173.55,723.139,1472.31,173.218,686.241,1317.68,49.1261,923.636,1426.32,392.634,893.114,1534.88,501.963,888.643,1459.94,610.438,908.758,1402.66,744.148,898.631,1356.07,856.561,836.335,1289.28,838.874,906.062,1256.13,918.366,897.399,1282.46,-107.27,811.622,1530.54,-184.184,798.86,1466.45,-306.398,771.639,1415.11,-414.621,725.592,1393.23,-512.051,615.758,1312.36,-524.714,697.606,1305.52,-583.174,632.061,1328.33,284.375,711.485,1020.62,34.4705,696.873,1022.85,296.15,914.535,1051.64,34.0912,911.387,1065.7,380.454,768.871,673.947,374.196,790.325,547.883,415.734,760.614,243.258,445.178,728.162,75.805,334.308,763.951,85.0239,426.164,538.445,83.8134,-71.1571,777.963,840.574,-55.2666,825.636,568.435,-88.7049,873.431,414.614,-108.347,922.338,91.4296,-1.37276,960.956,77.2364,-70.0895,756.533,84.2787
394,0,,,,,,,,,,,,,51.9843,870.493,1501.9,137.768,931.942,1240.91,173.286,722.969,1472.27,173.013,686.115,1317.63,49.1467,923.509,1426.31,392.836,892.487,1534.98,501.839,887.941,1459.92,610.51,908.054,1402.64,744.131,897.752,1355.96,856.379,835.446,1289.1,838.662,905.087,1255.93,918.388,896.301,1282.3,-107.415,811.497,1530.54,-184.243,798.743,1466.39,-306.465,771.581,1415.11,-414.732,725.495,1393.25,-512.153,615.703,1312.3,-524.9,697.579,1305.57,-583.243,632.006,1328.34,284.267,711.248,1020.54,34.3347,696.664,1022.88,296.024,914.206,1051.59,33.9542,911.164,1065.55,380.038,769.111,673.74,373.866,790.698,547.731,415.529,760.878,243.205,445.193,728.147,75.859,334.409,764.019,84.9132,426.229,538.43,83.8752,-71.338,777.68,840.557,-55.4727,825.232,568.428,-88.8145,873.17,414.593,-108.314,922.341,91.4268,-1.4056,960.925,77.2355,-70.1095,756.537,84.2548
395,0,,,,,,,,,,,,,50.7883,870.048,1501.53,137.673,931.739,1240.93,173.031,723.131,1472.46,173.389,686.531,1317.61,49.0805,923.415,1426.3,392.978,891.841,1535.04,501.716,887.176,1459.87,610.658,907.367,1402.65,744.183,896.902,1355.88,856.297,834.571,1288.97,838.671,904.241,1255.83,918.391,895.432,1282.16,-107.47,811.331,1530.45,-184.357,798.647,1466.29,-306.615,771.503,1415.08,-414.901,725.41,1393.24,-512.301,615.673,1312.24,-525.013,697.569,1305.6,-583.372,631.969,1328.34,284.163,711.099,1020.5,34.1891,696.406,1022.9,295.908,914.036,1051.5,33.7243,911.011,1065.52,379.779,769.325,673.64,373.559,791.083,547.625,415.531,761.088,243.378,445.143,728.187,75.765,334.252,763.938,85.0249,426.197,538.436,83.8626,-71.5391,777.412,840.583,-55.6038,824.854,568.354,-88.8076,872.908,414.478,-108.313,922.319,91.4038,-1.42786,960.925,77.2286,-70.1342,756.542,84.2239
396,0,,,,,,,,,,,,,49.7964,869.605,1501.25,137.696,931.578,1240.95,172.706,723.07,1472.53,173.23,686.392,1317.53,48.9628,923.383,1426.37,392.979,891.229,1535.04,501.659,886.386,1459.86,610.616,906.551,1402.6,744.127,896.075,1355.8,856.237,833.71,1288.89,838.667,903.411,1255.76,917.947,894.313,1281.82,-107.631,811.171,1530.46,-184.43,798.527,1466.25,-306.753,771.415,1415.11,-415.027,725.332,1393.2,-512.422,615.675,1312.13,-523.022,697.121,1304.09,-583.408,631.979,1328.25,284.078,710.959,1020.47,34.1929,696.2,1022.89,295.668,913.872,1051.44,33.5362,910.798,1065.45,379.545,769.489,673.552,373.307,791.353,547.539,415.381,761.24,243.343,445.152,728.202,75.7452,334.194,763.92,85.08,426.231,538.416,83.891,-71.781,777.056,840.543,-55.6264,824.532,568.217,-88.8366,872.651,414.434,-108.269,922.333,91.3476,-1.53607,960.902,77.1557,-70.0193,756.376,84.1586
397,0,,,,,,,,,,,,,48.7856,869.197,1500.89,137.7,931.334,1240.94,172.269,723.041,1472.57,173.002,686.273,1317.54,48.9622,923.219,1426.33,392.802,890.565,1534.97,501.553,885.727,1459.78,610.58,905.897,1402.6,744.043,895.23,1355.76,856.108,832.762,1288.74,838.286,902.097,1255.38,918.093,893.533,1281.81,-107.754,811.057,1530.43,-184.447,798.464,1466.21,-306.932,771.356,1415.12,-415.156,725.301,1393.16,-512.608,615.727,1312.08,-523.128,697.182,1304,-583.568,632.029,1328.24,283.869,710.829,1020.41,34.1522,695.937,1022.86,295.451,913.773,1051.41,33.3791,910.526,1065.38,379.403,769.597,673.545,373.138,791.55,547.532,415.243,761.359,243.315,445.237,728.182,75.873,334.128,763.885,85.1804,426.224,538.418,83.8249,-71.9599,776.716,840.519,-55.6586,824.123,568.042,-88.8866,872.314,414.367,-108.336,922.297,91.4022,-1.48671,960.908,77.2257,-70.1875,756.479,84.149
398,0,,,,,,,,,,,,,47.7828,868.581,1500.52,137.645,931.061,1240.87,171.855,722.678,1472.36,172.791,686.05,1317.48,48.9143,923.06,1426.34,392.681,889.958,1534.94,501.565,885.019,1459.77,610.352,905.11,1402.56,744.108,894.335,1355.8,856.195,831.823,1288.8,838.547,901.559,1255.61,918.104,892.386,1281.65,-107.831,810.893,1530.36,-184.528,798.334,1466.18,-307.029,771.309,1415.12,-415.285,725.29,1393.08,-512.779,615.798,1312.02,-523.211,697.24,1303.9,-583.656,632.123,1328.16,283.742,710.723,1020.35,34.0965,695.641,1022.85,295.168,913.69,1051.35,33.1671,910.249,1065.29,379.33,769.67,673.552,373.041,791.596,547.509,415.128,761.464,243.305,445.241,728.184,75.8298,334.181,763.912,85.0479,426.215,538.418,83.7979,-72.1812,776.338,840.515,-55.7254,823.715,567.955,-90.0251,872.109,415.564,-108.313,922.299,91.394,-1.42969,960.879,77.2945,-70.0237,756.332,84.126
399,0,,,,,,,,,,,,,47.1468,868.174,1500.23,137.633,930.822,1240.87,171.544,722.436,1472.3,172.076,685.296,1317.37,48.9764,922.874,1426.29,392.687,889.393,1534.92,501.771,884.405,1459.87,610.315,904.24,1402.58,744.074,893.453,1355.76,856.275,830.905,1288.92,838.367,900.552,1255.53,918.146,891.455,1281.6,-107.95,810.761,1530.33,-184.68,798.245,1466.19,-307.155,771.294,1415.08,-415.426,725.325,1393.03,-513.002,615.874,1311.94,-523.286,697.307,1303.78,-583.747,632.265,1328.09,283.638,710.684,1020.32,34.0199,695.359,1022.87,294.917,913.657,1051.29,32.926,910.022,1065.21,379.235,769.696,673.534,372.91,791.618,547.472,415.11,761.514,243.353,445.224,728.179,75.7902,334.214,763.937,85.0123,426.262,538.406,83.7337,-72.2666,775.873,840.488,-55.9329,823.269,568.063,-89.9078,871.753,415.427,-108.401,922.261,91.4653,-1.39262,960.873,77.3398,-70.0032,756.296,84.0866
400,0,,,,,,,,,,,,,50.5968,866.512,1502.13,137.537,930.54,1240.86,178.974,719.045,1474.32,171.972,684.998,1317.31,48.9478,922.599,1426.25,392.653,888.874,1534.91,501.906,883.795,1460.05,610.422,903.632,1402.58,744.023,892.649,1355.73,856.124,829.984,1288.82,838.104,899.229,1255.28,918.204,890.297,1281.56,-108.056,810.671,1530.31,-184.796,798.183,1466.16,-307.252,771.277,1415.07,-415.553,725.388,1392.92,-513.203,615.984,1311.82,-528.414,699.483,1305.56,-583.943,632.431,1327.94,283.607,710.614,1020.35,33.8711,695.082,1022.88,294.545,913.594,1051.2,32.7222,909.688,1065.17,379.153,769.674,673.547,372.862,791.565,547.504,415.061,761.513,243.369,445.177,728.184,75.8105,334.368,763.977,84.9034,426.29,538.373,83.6891,-72.4194,775.393,840.446,-56.0177,822.806,567.972,-89.8079,871.461,415.319,-108.338,922.275,91.3909,-1.37796,960.84,77.3962,-70.0541,756.642,84.2667
401,0,,,,,,,,,,,,,45.4,866.823,1499.48,137.617,930.225,1240.85,171.276,721.696,1472.01,172.059,684.639,1317.27,48.8596,922.476,1426.24,392.76,888.405,1534.93,501.93,883.201,1460.04,610.527,903.008,1402.62,743.957,891.825,1355.67,856.065,829.107,1288.82,838.451,898.713,1255.64,918.186,889.27,1281.42,-108.16,810.614,1530.25,-184.947,798.125,1466.12,-307.358,771.3,1414.95,-415.631,725.471,1392.77,-513.417,616.07,1311.69,-525.95,698.436,1304.27,-584.195,632.783,1327.9,283.502,710.594,1020.34,33.8118,694.825,1022.89,294.183,913.579,1051.17,32.4474,909.264,1065.14,379.137,769.609,673.59,372.728,791.414,547.459,414.94,761.533,243.349,445.222,728.188,75.82,334.267,763.922,85.0429,426.313,538.344,83.6538,-72.5532,774.914,840.366,-56.219,822.338,568.009,-88.94,871.04,414.296,-108.312,922.245,91.3182,-1.39319,960.833,77.3893,-70.0691,756.305,84.0656
402,0,,,,,,,,,,,,,44.3752,866.097,1498.99,137.626,929.948,1240.79,170.913,721.272,1471.78,171.974,684.32,1317.29,48.8254,922.113,1426.1,392.788,888.016,1534.92,501.696,882.626,1459.97,610.477,902.387,1402.55,744.039,890.953,1355.71,855.85,828.03,1288.76,838.272,897.728,1255.56,917.992,888.38,1281.3,-108.283,810.602,1530.26,-185.054,798.151,1466.05,-307.473,771.323,1414.88,-415.831,725.556,1392.63,-513.503,616.54,1311.26,-523.767,697.599,1303.17,-584.397,632.783,1327.66,283.469,710.556,1020.36,33.6477,694.582,1022.97,293.873,913.586,1051.11,32.202,908.802,1065.05,379.149,769.508,673.672,372.615,791.222,547.418,414.944,761.501,243.409,445.249,728.168,75.8303,334.193,763.854,85.1076,426.31,538.345,83.5761,-72.5474,774.394,840.24,-56.3336,821.938,567.91,-88.9916,870.772,414.256,-108.283,922.259,91.386,-1.32759,960.828,77.4616,-69.9671,756.53,84.1305
403,0,,,,,,,,,,,,,43.4973,865.518,1498.63,137.7,929.613,1240.76,170.805,720.924,1471.72,171.932,683.975,1317.31,48.7022,922.049,1426.06,392.785,887.599,1534.93,501.508,882.083,1459.9,610.257,901.57,1402.46,744.033,890.061,1355.73,855.814,827.067,1288.76,838.365,896.75,1255.6,917.744,887.279,1281.16,-108.376,810.548,1530.2,-185.187,798.168,1465.98,-307.59,771.33,1414.78,-415.941,725.647,1392.45,-513.744,616.638,1311.12,-523.759,697.712,1303.08,-584.48,632.988,1327.42,283.458,710.548,1020.4,33.6025,694.263,1022.96,293.567,913.616,1051.08,31.8274,908.332,1064.98,379.126,769.377,673.701,372.453,790.97,547.371,414.846,761.453,243.35,445.289,728.161,75.8818,334.255,763.886,84.9754,426.323,538.315,83.4903,-72.4795,773.956,840.025,-56.3172,821.611,567.883,-89.0752,870.508,414.234,-108.324,922.216,91.4041,-1.32212,960.775,77.53,-70.136,756.218,83.9049
404,0,,,,,,,,,,,,,42.4617,864.943,1498.12,137.587,929.11,1240.76,170.39,720.691,1471.59,171.917,683.644,1317.34,48.6853,921.824,1425.92,392.771,887.236,1534.92,501.36,881.562,1459.79,610.153,900.84,1402.38,743.945,889.223,1355.69,855.786,826.126,1288.84,838.32,895.753,1255.63,918.04,886.221,1281.34,-108.526,810.574,1530.17,-185.287,798.19,1465.79,-307.68,771.414,1414.64,-416.094,725.747,1392.28,-513.909,616.804,1310.93,-523.887,697.904,1303.12,-584.739,633.193,1327.3,283.232,710.557,1020.35,33.5064,693.962,1022.95,293.259,913.647,1051.06,31.4993,907.923,1064.93,379.194,769.212,673.818,372.33,790.661,547.302,414.818,761.363,243.383,445.241,728.14,75.7865,334.192,763.816,84.9569,426.363,538.255,83.463,-72.56,773.52,839.973,-56.3985,821.336,567.853,-89.0789,870.301,414.186,-108.367,922.176,91.3714,-1.37061,960.795,77.508,-70.1192,756.2,83.8545
405,0,,,,,,,,,,,,,41.7335,864.56,1497.89,137.417,928.679,1240.61,170.298,720.616,1471.81,171.555,682.867,1317.5,48.5272,921.703,1425.88,392.722,886.902,1534.88,501.206,881.083,1459.69,610.182,900.301,1402.34,743.829,888.481,1355.65,855.832,825.098,1288.97,838.259,894.797,1255.59,918.026,884.995,1281.4,-108.612,810.584,1530.14,-185.385,798.262,1465.7,-306.176,771.237,1413.31,-416.263,725.844,1392.08,-514.016,616.974,1310.75,-524.032,698.123,1302.86,-584.796,633.446,1327.08,283.261,710.519,1020.47,33.4812,693.633,1022.9,292.942,913.689,1051.08,31.2546,907.544,1064.82,379.171,769.056,673.916,372.395,790.34,547.437,414.653,761.263,243.311,445.192,728.107,75.7613,334.135,763.742,84.8178,426.417,538.193,83.3585,-72.5798,773.103,839.866,-56.3597,821.132,567.792,-89.044,870.098,414.1,-108.311,922.211,91.4382,-1.37724,960.763,77.5448,-70.0994,756.222,83.9454
406,0,,,,,,,,,,,,,42.6929,863.29,1498.5,137.319,928.298,1240.53,173.287,718.38,1472.03,171.267,682.408,1317.68,48.4163,921.573,1425.78,392.577,886.603,1534.81,501.257,880.648,1459.64,610.153,899.673,1402.33,743.958,887.655,1355.7,855.657,824.061,1289,838.352,893.869,1255.65,918.055,883.99,1281.5,-108.77,810.616,1530.1,-185.387,798.374,1465.61,-306.289,771.322,1413.22,-416.411,725.997,1391.93,-514.144,617.18,1310.55,-528.08,699.505,1304.43,-584.984,633.682,1326.89,283.112,710.483,1020.51,33.4056,693.364,1022.88,292.588,913.728,1051.08,30.9923,907.141,1064.8,379.255,768.867,674.082,372.379,790.028,547.482,414.51,761.135,243.258,445.195,728.122,75.8118,334.149,763.748,84.709,426.408,538.159,83.2948,-72.65,772.717,839.787,-56.3573,820.97,567.741,-89.1122,869.921,414.062,-108.383,922.155,91.4396,-1.4223,960.733,77.531,-70.1687,756.184,83.8391
